PDB,rank,conf
7toh,rank9,-4.28
7toh,rank5,-2.39
7toh,rank6,-2.89
7toh,rank1,-1.27
7toh,rank8,-3.80
7toh,rank2,-1.33
7tvp,rank10,-3.64
7tvp,rank3,-3.38
7tvp,rank4,-3.39
7tvp,rank9,-3.63
7tvp,rank1,-2.81
7tvp,rank8,-3.48
7tvp,rank2,-3.17
7tvp,rank6,-3.42
7tvp,rank5,-3.41
7tvp,rank7,-3.45
7vi7,rank3,-0.40
7vi7,rank6,-0.43
7vi7,rank5,-0.41
7vi7,rank4,-0.41
7vi7,rank7,-0.43
7vi7,rank1,-0.37
7vi7,rank8,-0.44
7vi7,rank9,-0.45
7vi7,rank10,-0.49
7vi7,rank2,-0.38
7vu1,rank8,-3.65
7vu1,rank1,-2.90
7vu1,rank7,-3.54
7vu1,rank4,-3.46
7vu1,rank6,-3.52
7vu1,rank5,-3.50
7vu1,rank2,-3.31
7vu1,rank10,-3.91
7vu1,rank3,-3.35
7vu1,rank9,-3.69
7vwb,rank3,-3.12
7vwb,rank5,-3.39
7vwb,rank2,-2.68
7vwb,rank10,-4.82
7vwb,rank8,-4.06
7vwb,rank6,-3.87
7vwb,rank1,-2.28
7vwb,rank9,-4.14
7vwb,rank7,-3.93
7vwb,rank4,-3.36
7w11-glc,rank10,-3.58
7w11-glc,rank5,-2.43
7w11-glc,rank2,-1.14
7w11-glc,rank1,-1.11
7w11-glc,rank7,-2.78
7w11-glc,rank9,-2.92
7w11-glc,rank8,-2.87
7w11-glc,rank3,-1.41
7w11-glc,rank4,-1.90
7w11-glc,rank6,-2.60
7w11-udp,rank8,-0.27
7w11-udp,rank10,-0.31
7w11-udp,rank7,-0.24
7w11-udp,rank1,-0.09
7w11-udp,rank6,-0.22
7w11-udp,rank4,-0.16
7w11-udp,rank2,-0.12
7w11-udp,rank5,-0.16
7w11-udp,rank3,-0.12
7w11-udp,rank9,-0.29
7w18,rank10,-4.42
7w18,rank2,-3.65
7w18,rank9,-4.20
7w18,rank8,-4.14
7w18,rank1,-3.41
7w18,rank6,-3.79
7w18,rank5,-3.79
7w18,rank3,-3.68
7w18,rank4,-3.79
7w18,rank7,-4.12
7xtn,rank8,-3.64
7xtn,rank9,-3.65
7xtn,rank1,-3.13
7xtn,rank10,-3.74
7xtn,rank7,-3.57
7xtn,rank4,-3.42
7xtn,rank5,-3.43
7xtn,rank6,-3.51
7xtn,rank3,-3.30
7xtn,rank2,-3.22
7ywf,rank5,-2.40
7ywf,rank6,-2.45
7ywf,rank9,-2.86
7ywf,rank8,-2.78
7ywf,rank1,-1.75
7ywf,rank10,-2.97
7ywf,rank4,-2.25
7ywf,rank3,-2.09
7ywf,rank2,-2.02
7ywf,rank7,-2.49
7zoo,rank7,-4.34
7zoo,rank10,-5.02
7zoo,rank9,-4.83
7zoo,rank1,-3.64
7zoo,rank2,-3.75
7zoo,rank3,-3.81
7zoo,rank4,-3.87
7zoo,rank6,-4.29
7zoo,rank8,-4.67
7zoo,rank5,-4.14
8ad2,rank10,-4.44
8ad2,rank9,-3.98
8ad2,rank5,-3.71
8ad2,rank4,-3.70
8ad2,rank3,-3.49
8ad2,rank6,-3.80
8ad2,rank2,-3.40
8ad2,rank7,-3.84
8ad2,rank8,-3.87
8ad2,rank1,-3.36
8axs,rank3,-0.43
8axs,rank1,-0.40
8axs,rank2,-0.42
8axs,rank5,-0.46
8axs,rank4,-0.45
8axs,rank6,-0.53
8axs,rank7,-0.55
8axs,rank9,-0.57
8axs,rank8,-0.55
8axs,rank10,-1.22
8bf3,rank6,-2.46
8bf3,rank5,-2.45
8bf3,rank7,-2.78
8bf3,rank3,-1.62
8bf3,rank8,-2.82
8bf3,rank10,-3.33
8bf3,rank2,-1.57
8bf3,rank4,-1.94
8bf3,rank9,-3.23
8bf3,rank1,-1.30
8csf-cmp,rank7,-0.87
8csf-cmp,rank5,-0.85
8csf-cmp,rank4,-0.84
8csf-cmp,rank6,-0.85
8csf-cmp,rank2,-0.82
8csf-cmp,rank3,-0.82
8csf-cmp,rank1,-0.79
8csf-cmp,rank10,-0.93
8csf-cmp,rank8,-0.87
8csf-cmp,rank9,-0.91
8csf-kdo,rank10,-3.60
8csf-kdo,rank5,-2.33
8csf-kdo,rank8,-3.14
8csf-kdo,rank1,-1.64
8csf-kdo,rank4,-2.29
8csf-kdo,rank2,-1.80
8csf-kdo,rank3,-1.87
8csf-kdo,rank6,-2.48
8csf-kdo,rank9,-3.52
8csf-kdo,rank7,-2.65
8csf-rha,rank9,-3.58
8csf-rha,rank6,-3.14
8csf-rha,rank5,-3.14
8csf-rha,rank1,-1.07
8csf-rha,rank3,-2.43
8csf-rha,rank2,-2.39
8csf-rha,rank10,-4.05
8csf-rha,rank8,-3.53
8csf-rha,rank4,-2.48
8csf-rha,rank7,-3.27
8d0r-fuc,rank10,-4.81
8d0r-fuc,rank1,-3.16
8d0r-fuc,rank9,-4.54
8d0r-fuc,rank5,-3.77
8d0r-fuc,rank6,-3.95
8d0r-fuc,rank4,-3.56
8d0r-fuc,rank7,-4.01
8d0r-fuc,rank3,-3.26
8d0r-fuc,rank2,-3.19
8d0r-fuc,rank8,-4.49
8d0r-gdp,rank2,-1.15
8d0r-gdp,rank4,-2.35
8d0r-gdp,rank8,-4.09
8d0r-gdp,rank9,-4.21
8d0r-gdp,rank3,-1.55
8d0r-gdp,rank6,-3.50
8d0r-gdp,rank10,-4.29
8d0r-gdp,rank7,-3.93
8d0r-gdp,rank1,-1.09
8d0r-gdp,rank5,-3.37
8dzd,rank1,-2.92
8dzd,rank2,-3.13
8dzd,rank8,-3.73
8dzd,rank4,-3.38
8dzd,rank6,-3.61
8dzd,rank10,-4.11
8dzd,rank7,-3.69
8dzd,rank9,-4.01
8dzd,rank5,-3.46
8dzd,rank3,-3.26
8edi,rank4,-3.17
8edi,rank2,-3.15
8edi,rank1,-3.02
8edi,rank9,-3.48
8edi,rank3,-3.16
8edi,rank10,-5.65
8edi,rank8,-3.47
8edi,rank7,-3.36
8edi,rank6,-3.32
8edi,rank5,-3.24
8ic1,rank4,-3.13
8ic1,rank10,-1000.00
8ic1,rank1,-2.29
8ic1,rank7,-3.52
8ic1,rank6,-3.47
8ic1,rank8,-3.79
8ic1,rank9,-3.85
8ic1,rank5,-3.25
8ic1,rank3,-3.08
8ic1,rank2,-2.77
8inp-glc,rank2,-1.04
8inp-glc,rank1,-0.91
8inp-glc,rank7,-1.60
8inp-glc,rank9,-2.76
8inp-glc,rank8,-1.83
8inp-glc,rank3,-1.08
8inp-glc,rank5,-1.24
8inp-glc,rank4,-1.20
8inp-glc,rank10,-3.40
8inp-glc,rank6,-1.34
8inp-udp,rank9,-0.21
8inp-udp,rank10,-0.23
8inp-udp,rank8,-0.18
8inp-udp,rank3,-0.14
8inp-udp,rank6,-0.15
8inp-udp,rank1,-0.11
8inp-udp,rank7,-0.15
8inp-udp,rank4,-0.15
8inp-udp,rank2,-0.11
8inp-udp,rank5,-0.15
8ped,rank1,-3.13
8ped,rank9,-3.74
8ped,rank7,-3.65
8ped,rank5,-3.54
8ped,rank6,-3.56
8ped,rank4,-3.42
8ped,rank10,-3.91
8ped,rank2,-3.35
8ped,rank3,-3.36
8ped,rank8,-3.68
