PDB	prms	irms	fnat_full	fnat_res	lRMS_sc	lRMS_h	RiRMS	prot-carb_clash	carb-carb_clash	lRMS_sc0	lRMS_sc1	lRMS_sc2
7pgk_pa_boltz_rank2.pdb	1.04	2.623	0.286	0.3	15.824	15.28	14.082	1	0	15.824		
7pgk_pa_boltz_rank3.pdb	1.01	2.615	0.286	0.2	14.682	14.788	13.957	0	0	14.682		
7pgk_pa_boltz_rank4.pdb	1.045	2.438	0.286	0.3	12.977	12.79	11.63	2	0	12.977		
7pug_pa_boltz_rank0.pdb	0.873	0.626	0.583	0.421	10.002	11.17	10.57	0	0	10.002		
7pug_pa_boltz_rank1.pdb	1.059	0.579	0.667	0.421	10.15	11.774	11.075	0	0	10.15		
7pug_pa_boltz_rank2.pdb	1.068	0.667	0.667	0.421	10.257	10.847	10.244	0	0	10.257		
7pug_pa_boltz_rank3.pdb	0.754	0.656	0.667	0.421	18.385	10.946	10.52	0	0	18.385		
7pug_pa_boltz_rank4.pdb	0.99	0.696	0.667	0.368	18.005	10.647	10.311	0	0	18.005		
7rft_pa_boltz_rank0.pdb	1.333	0.579	0.923	0.955	8.358	4.624	2.794	0	0	8.358		
7rft_pa_boltz_rank1.pdb	1.256	0.562	0.923	0.955	8.367	4.942	6.822	0	0	8.367		
7rft_pa_boltz_rank2.pdb	1.27	0.588	0.923	0.909	8.432	4.776	6.882	0	0	8.432		
7rft_pa_boltz_rank3.pdb	1.172	0.492	0.923	0.909	8.273	4.598	2.752	0	0	8.273		
7rft_pa_boltz_rank4.pdb	1.453	0.653	0.923	0.955	8.28	4.655	2.821	0	0	8.28		
7rpy_pa_boltz_rank0.pdb	0.74	0.582	0.929	0.9	7.984	1.983	0.997	0	0	7.984		
7rpy_pa_boltz_rank1.pdb	0.538	0.392	0.929	0.9	8.041	1.867	0.906	0	0	8.041		
7rpy_pa_boltz_rank2.pdb	0.851	0.566	0.857	0.8	8.135	2.253	0.846	0	0	8.135		
7rpy_pa_boltz_rank3.pdb	0.536	0.372	0.786	0.7	8.245	2.361	0.98	0	0	8.245		
7rpy_pa_boltz_rank4.pdb	0.786	0.527	0.857	0.8	1.324	2.37	1.183	0	0	1.324		
7toh_pa_boltz_rank0.pdb	0.36	0.379	1.0	0.947	2.198	1.159	0.597	0	0	2.198		
7toh_pa_boltz_rank1.pdb	0.328	0.373	1.0	0.947	2.306	1.42	0.839	0	0	2.306		
7toh_pa_boltz_rank2.pdb	0.323	0.365	1.0	1.0	2.271	1.504	0.807	0	0	2.271		
7toh_pa_boltz_rank3.pdb	0.329	0.386	1.0	0.947	2.267	1.165	0.408	0	0	2.267		
7toh_pa_boltz_rank4.pdb	0.351	0.386	1.0	0.895	2.25	1.305	0.648	0	0	2.25		
7tvp_pa_boltz_rank0.pdb	0.522	0.471	0.0	0.0	27.449	22.067	22.662	0	0	27.449		
7tvp_pa_boltz_rank1.pdb	0.42	0.418	0.0	0.0	30.983	24.383	25.532	0	0	30.983		
7tvp_pa_boltz_rank2.pdb	0.51	0.417	0.0	0.0	29.114	23.133	23.743	0	0	29.114		
7tvp_pa_boltz_rank3.pdb	0.453	0.39	0.0	0.0	25.58	25.059	26.237	1	0	25.58		
7tvp_pa_boltz_rank4.pdb	0.452	0.378	0.0	0.0	35.401	27.296	28.408	0	0	35.401		
7vi7_pa_boltz_rank0.pdb	0.468	0.353	1.0	1.0	0.809	0.809	0.352	0	0	0.809		
7vi7_pa_boltz_rank1.pdb	0.486	0.35	1.0	1.0	0.85	0.85	0.378	0	0	0.85		
7vi7_pa_boltz_rank2.pdb	0.541	0.38	1.0	1.0	0.812	0.812	0.356	0	0	0.812		
7vi7_pa_boltz_rank3.pdb	0.51	0.349	1.0	1.0	0.831	0.831	0.386	0	0	0.831		
7vi7_pa_boltz_rank4.pdb	0.521	0.352	1.0	1.0	0.837	0.837	0.371	0	0	0.837		
7vu1_pa_boltz_rank0.pdb	0.439	0.416	0.88	0.737	15.428	2.841	1.267	0	0	15.428		
7vu1_pa_boltz_rank1.pdb	0.474	0.416	0.88	0.737	15.18	2.115	1.817	1	0	15.18		
7vu1_pa_boltz_rank2.pdb	0.483	0.45	0.76	0.553	15.157	3.569	2.66	2	0	15.157		
7vu1_pa_boltz_rank3.pdb	0.455	0.412	0.72	0.553	7.17	2.815	2.583	0	0	7.17		
7vu1_pa_boltz_rank4.pdb	0.48	0.429	0.84	0.711	14.534	3.289	2.713	0	0	14.534		
7vwb_pa_boltz_rank0.pdb	0.576	0.515	0.875	0.9	1.767	3.006	1.597	0	0	1.767		
7vwb_pa_boltz_rank1.pdb	0.611	0.581	1.0	1.0	0.904	0.995	0.738	0	0	0.904		
7vwb_pa_boltz_rank2.pdb	0.622	0.587	1.0	1.0	1.172	1.322	0.944	0	0	1.172		
7vwb_pa_boltz_rank3.pdb	0.623	0.568	1.0	1.0	1.108	1.148	0.636	0	0	1.108		
7vwb_pa_boltz_rank4.pdb	0.581	0.545	0.875	0.9	1.19	1.201	0.832	0	0	1.19		
7w11_pa_boltz_rank0.pdb	0.426	0.396	0.7	0.833	1.595	1.098	0.356	0	0	0.935	2.254	
7w11_pa_boltz_rank1.pdb	0.449	0.391	0.675	0.81	1.588	1.301	0.467	0	0	1.069	2.106	
7w11_pa_boltz_rank2.pdb	0.482	0.475	0.75	0.857	1.655	1.026	0.299	0	0	1.027	2.282	
7w11_pa_boltz_rank3.pdb	0.461	0.365	0.725	0.833	1.568	1.117	0.312	0	0	0.927	2.209	
7w11_pa_boltz_rank4.pdb	0.468	0.382	0.75	0.857	1.6	1.143	0.373	0	0	0.969	2.231	
7w18_pa_boltz_rank0.pdb	0.444	0.46	0.905	0.697	16.597	3.324	3.305	2	0	16.597		
7w18_pa_boltz_rank1.pdb	0.431	0.444	0.714	0.667	5.431	3.742	3.716	2	1	5.431		
7w18_pa_boltz_rank2.pdb	0.461	0.482	0.762	0.697	4.786	3.47	3.336	0	0	4.786		
7w18_pa_boltz_rank3.pdb	0.476	0.496	0.81	0.788	4.155	5.002	3.023	1	0	4.155		
7w18_pa_boltz_rank4.pdb	0.48	0.487	0.667	0.515	5.372	8.523	8.452	0	0	5.372		
7xtn_pa_boltz_rank0.pdb	0.529	0.537	0.778	0.778	5.201	3.818	1.048	0	0	5.201		
7xtn_pa_boltz_rank1.pdb	0.517	0.552	0.667	0.667	5.201	3.992	1.125	0	0	5.201		
7xtn_pa_boltz_rank2.pdb	0.466	0.48	0.667	0.667	5.177	3.664	0.998	0	0	5.177		
7xtn_pa_boltz_rank3.pdb	0.466	0.473	0.778	0.778	5.274	3.758	1.194	0	0	5.274		
7xtn_pa_boltz_rank4.pdb	0.515	0.471	0.667	0.667	5.293	3.822	1.094	0	0	5.293		
7ywf_pa_boltz_rank0.pdb	0.59	0.466	0.889	0.917	3.219	2.868	1.1	0	0	3.219		
7ywf_pa_boltz_rank1.pdb	0.648	0.505	0.889	0.917	3.198	2.46	0.889	0	0	3.198		
7ywf_pa_boltz_rank2.pdb	0.678	0.524	0.889	0.917	3.068	2.627	1.253	0	0	3.068		
7ywf_pa_boltz_rank3.pdb	0.656	0.5	0.889	0.917	3.171	2.489	1.112	0	0	3.171		
7ywf_pa_boltz_rank4.pdb	0.612	0.488	0.889	0.917	3.759	2.837	1.312	0	0	3.759		
7zon_pa_boltz_rank0.pdb	0.376	0.359	0.647	0.579	23.464	17.385	17.141	0	0	30.043	29.951	10.398
7zon_pa_boltz_rank1.pdb	0.379	0.359	0.706	0.632	23.357	17.325	17.114	0	0	30.033	29.94	10.097
7zon_pa_boltz_rank2.pdb	0.397	0.346	0.647	0.579	23.392	17.325	17.062	0	0	10.353	29.926	29.896
7zon_pa_boltz_rank3.pdb	0.391	0.386	0.647	0.579	23.427	17.387	17.122	0	0	10.417	29.854	30.011
7zon_pa_boltz_rank4.pdb	0.369	0.343	0.706	0.632	23.559	17.377	17.121	0	0	10.794	29.858	30.026
7zoo_pa_boltz_rank0.pdb	0.37	0.33	0.0	0.0	27.659	27.64	27.218	0	0	27.659		
7zoo_pa_boltz_rank1.pdb	0.382	0.34	0.0	0.0	27.889	27.833	27.341	0	0	27.889		
7zoo_pa_boltz_rank2.pdb	0.4	0.367	0.0	0.0	27.844	27.895	27.379	0	0	27.844		
7zoo_pa_boltz_rank3.pdb	0.39	0.369	0.0	0.0	27.086	27.152	26.774	0	0	27.086		
7zoo_pa_boltz_rank4.pdb	0.378	0.348	0.0	0.0	27.317	27.374	26.987	0	0	27.317		
8ad2_pa_boltz_rank0.pdb	0.562	0.503	0.889	0.875	7.222	0.647	0.294	0	0	7.222		
8ad2_pa_boltz_rank1.pdb	0.647	0.481	0.889	0.812	6.291	1.031	0.728	0	0	6.291		
8ad2_pa_boltz_rank2.pdb	0.736	0.483	0.889	0.75	6.985	1.72	1.04	0	0	6.985		
8ad2_pa_boltz_rank3.pdb	0.595	0.503	0.889	0.812	6.651	0.707	0.442	0	0	6.651		
8ad2_pa_boltz_rank4.pdb	0.694	0.533	0.889	0.75	12.932	2.434	1.882	0	0	12.932		
8axs_pa_boltz_rank0.pdb	0.509	0.887	0.75	0.75	3.529	3.249	1.525	0	0	3.529		
8axs_pa_boltz_rank1.pdb	0.501	0.865	0.9	0.9	3.515	3.206	1.629	0	0	3.515		
8axs_pa_boltz_rank2.pdb	0.455	0.821	0.9	0.9	3.543	3.168	1.86	0	0	3.543		
8axs_pa_boltz_rank3.pdb	0.586	0.837	0.85	0.85	3.526	3.3	1.735	0	0	3.526		
8axs_pa_boltz_rank4.pdb	0.535	0.853	0.85	0.85	3.452	3.32	1.606	0	0	3.452		
8bf3_pa_boltz_rank0.pdb	0.721	0.415	0.909	0.833	3.926	3.478	3.124	0	0	3.926		
8bf3_pa_boltz_rank1.pdb	0.585	0.411	0.909	0.917	5.267	4.877	4.138	0	0	5.267		
8bf3_pa_boltz_rank2.pdb	0.635	0.429	0.909	0.833	5.085	4.802	4.069	1	0	5.085		
8bf3_pa_boltz_rank3.pdb	0.761	0.495	0.909	0.75	6.773	5.611	4.644	0	0	6.773		
8bf3_pa_boltz_rank4.pdb	0.816	0.38	0.364	0.25	10.128	9.126	7.449	0	0	10.128		
8csf_pa_boltz_rank0.pdb	0.516	0.506	0.909	0.767	2.69	3.093	4.545	0	0	3.817	1.024	3.229
8csf_pa_boltz_rank1.pdb	0.587	0.519	0.879	0.744	3.63	3.741	5.053	0	0	6.608	1.084	3.199
8csf_pa_boltz_rank2.pdb	0.453	0.448	0.909	0.721	3.701	3.226	3.744	1	0	6.199	1.137	3.766
8csf_pa_boltz_rank3.pdb	0.539	0.537	0.848	0.744	3.4	3.938	3.504	1	0	6.311	1.127	2.761
8csf_pa_boltz_rank4.pdb	0.483	0.485	0.939	0.744	3.692	3.581	3.869	0	0	7.131	0.896	3.05
8d0r_pa_boltz_rank0.pdb	0.639	0.493	0.963	0.784	2.705	3.833	3.135	1	0	3.846	1.564	
8d0r_pa_boltz_rank1.pdb	0.506	0.416	0.963	0.892	2.826	4.05	3.103	0	0	4.179	1.473	
8d0r_pa_boltz_rank2.pdb	0.755	0.429	0.963	0.892	2.943	4.191	3.353	0	0	4.243	1.644	
8d0r_pa_boltz_rank3.pdb	0.772	0.475	0.963	0.865	2.436	3.22	2.993	0	0	3.43	1.441	
8d0r_pa_boltz_rank4.pdb	0.631	0.471	0.926	0.865	3.676	3.825	2.382	0	0	5.912	1.439	
8dzd_pa_boltz_rank0.pdb	0.327	0.344	0.0	0.0	16.216	16.429	15.881	0	0	16.216		
8dzd_pa_boltz_rank1.pdb	0.314	0.362	0.059	0.045	16.271	16.161	15.73	0	0	16.271		
8dzd_pa_boltz_rank2.pdb	0.302	0.38	0.118	0.091	15.327	15.257	14.705	1	0	15.327		
8dzd_pa_boltz_rank3.pdb	0.316	0.376	0.059	0.045	16.045	15.953	15.21	0	0	16.045		
8dzd_pa_boltz_rank4.pdb	0.337	0.359	0.118	0.091	15.47	15.396	14.637	1	0	15.47		
8edi_pa_boltz_rank0.pdb	0.955	0.499	0.636	0.5	11.284	13.406	12.869	1	0	11.284		
8edi_pa_boltz_rank1.pdb	0.74	0.419	0.636	0.611	12.192	9.769	9.205	0	0	12.192		
8edi_pa_boltz_rank2.pdb	0.631	0.413	0.727	0.556	8.959	11.192	11.085	0	0	8.959		
8edi_pa_boltz_rank3.pdb	0.903	0.429	0.636	0.667	9.357	10.513	9.87	1	0	9.357		
8edi_pa_boltz_rank4.pdb	0.635	0.356	0.727	0.556	9.083	10.233	9.562	0	0	9.083		
8ic1_pa_boltz_rank0.pdb	0.5	0.473	0.0	0.0	42.725	36.939	36.535	25	0	42.725		
8ic1_pa_boltz_rank1.pdb	0.487	0.476	0.833	0.689	12.366	3.791	2.719	0	0	12.366		
8ic1_pa_boltz_rank2.pdb	0.504	0.477	0.833	0.667	15.654	7.418	6.658	0	0	15.654		
8ic1_pa_boltz_rank3.pdb	0.459	0.452	0.833	0.711	7.618	4.258	3.279	0	0	7.618		
8ic1_pa_boltz_rank4.pdb	0.552	0.477	0.0	0.0	37.49	32.265	31.566	0	0	37.49		
8inp_pa_boltz_rank0.pdb	1.235	0.673	0.867	0.853	3.09	2.772	1.674	0	0	3.973	2.207	
8inp_pa_boltz_rank1.pdb	1.223	0.605	0.9	0.912	2.994	2.707	1.689	0	0	3.968	2.019	
8inp_pa_boltz_rank2.pdb	1.207	0.667	0.9	0.912	2.975	2.751	1.65	0	0	3.882	2.068	
8inp_pa_boltz_rank3.pdb	1.232	0.648	0.9	0.912	3.072	2.788	1.667	0	0	3.911	2.233	
8inp_pa_boltz_rank4.pdb	1.235	0.626	0.9	0.824	3.093	2.738	1.618	0	1	3.985	2.2	
8ped_pa_boltz_rank0.pdb	0.505	0.65	0.84	0.735	6.694	6.952	6.06	1	0	6.694		
8ped_pa_boltz_rank1.pdb	0.494	0.7	0.92	0.765	6.437	6.683	6.074	0	0	6.437		
8ped_pa_boltz_rank2.pdb	0.468	0.616	0.88	0.735	6.108	6.372	5.889	1	0	6.108		
8ped_pa_boltz_rank3.pdb	0.421	0.57	0.92	0.794	6.545	6.735	6.1	0	0	6.545		
8ped_pa_boltz_rank4.pdb	0.465	0.585	0.8	0.735	30.123	3.464	3.203	1	0	30.123		
